timestamp,temperature_C,pressure_hPa,humidity_percent,gas_ohms
2026-02-14 19:22:26,23.24,1012.92,61.76,98803.55
2026-02-14 19:22:31,23.36,1012.94,61.61,99552.79
2026-02-14 19:22:36,23.39,1012.95,61.54,99843.99
2026-02-14 19:22:41,23.36,1012.93,59.67,114515.77
2026-02-14 19:22:46,23.40,1012.95,58.40,113676.73
2026-02-14 19:22:51,23.31,1013.01,59.28,97896.75
2026-02-14 19:22:56,23.49,1012.98,59.73,101026.05
2026-02-14 19:23:01,23.40,1012.97,60.10,103350.83
2026-02-14 19:23:06,23.43,1012.99,60.33,103350.83
2026-02-14 19:23:11,23.34,1013.00,59.42,106113.99
2026-02-14 19:23:16,23.50,1013.03,58.35,109028.96
2026-02-14 19:23:21,23.40,1012.97,58.91,105916.43
2026-02-14 19:23:26,23.42,1012.93,59.07,107247.59
2026-02-14 19:23:31,23.34,1012.97,59.42,98178.33
2026-02-14 19:23:36,23.47,1012.97,59.51,104489.80
2026-02-14 19:23:41,23.42,1012.95,59.62,105654.15
2026-02-14 19:23:46,23.44,1012.96,59.72,105523.50
2026-02-14 19:23:51,23.35,1013.03,60.14,96951.33
2026-02-14 19:23:56,23.51,1013.04,59.80,104298.23
2026-02-14 19:24:01,23.30,1013.01,59.54,97952.94
2026-02-14 19:24:06,23.40,1013.03,59.63,98234.84
2026-02-14 19:24:16,23.44,1013.05,59.89,105654.15
2026-02-14 19:24:28,23.43,1013.02,60.51,103853.96
2026-02-14 19:24:33,23.41,1013.01,60.68,102481.99
2026-02-14 19:24:38,23.43,1013.02,60.74,102481.99
2026-02-14 19:24:43,23.36,1013.08,60.32,100195.69
2026-02-14 19:24:48,23.51,1013.05,59.34,105004.10
2026-02-14 19:24:53,23.42,1012.95,59.14,110942.58
2026-02-14 19:24:58,23.43,1012.98,58.44,112478.03
2026-02-14 19:25:03,23.37,1013.02,58.73,102175.21
2026-02-14 19:25:08,23.52,1013.00,58.89,104298.23
2026-02-14 19:25:13,23.41,1013.00,58.59,110511.55
2026-02-14 19:25:18,23.43,1013.01,58.54,110154.91
2026-02-14 19:25:23,23.34,1013.02,57.08,112700.86
2026-02-14 19:25:28,23.51,1013.02,56.94,112700.86
2026-02-14 19:25:33,23.41,1012.98,57.75,111087.00
2026-02-14 19:25:38,23.43,1013.02,58.34,108751.06
2026-02-14 19:25:43,23.35,1013.08,59.04,100372.48
2026-02-14 19:25:48,23.49,1013.04,59.17,106711.13
2026-02-14 19:25:53,23.40,1013.02,57.84,119990.63
2026-02-14 19:25:58,23.42,1012.97,56.77,122400.19
2026-02-14 19:26:03,23.35,1013.02,57.24,106444.91
2026-02-14 19:26:08,23.50,1013.02,57.68,108889.83
2026-02-14 19:26:13,23.40,1012.97,56.73,124181.42
2026-02-14 19:26:18,23.41,1012.96,56.14,121011.58
2026-02-14 19:26:23,23.33,1013.00,57.02,105328.12
2026-02-14 19:26:28,23.46,1012.95,57.52,110726.64
2026-02-14 19:26:38,23.42,1013.02,56.44,111304.35
2026-02-14 19:26:43,23.42,1012.93,56.30,120075.05
2026-02-14 19:26:48,23.41,1012.96,55.71,123017.78
2026-02-14 19:26:53,23.39,1013.01,55.61,120075.05
2026-02-14 19:26:58,23.46,1012.96,53.87,135845.05
2026-02-14 19:27:03,23.37,1012.96,53.00,148362.79
2026-02-14 19:27:08,23.35,1012.94,52.88,139967.20
2026-02-14 19:27:13,23.34,1012.96,54.26,114056.58
2026-02-14 19:27:18,23.45,1012.96,55.41,117189.29
